run_id	commit	artifact_dir	worktree_dirty	strategy_sha256	experiment_sha256	protocol_sha256	rationale_sha256	quick_config_sha256	iteration	score	gates_passed	gate_flags	subwindow_trade_counts	trade_count	net_return_contribution_concentration	cost_stress	net_return_sum	avg_trade_net	win_rate	profit_factor	gross_return_sum	cost_return_sum	complexity_count	status	best_status	continuation	stop_reason	elapsed_seconds	note
attempt-0011	69d2cd3	results/autoresearch/attempt-0011	true	7cb580eda029aed650aeae9d5ef9cd44d05231e48cd90e67fc0ecd0c2c5641ab	fa8c59dd19d980c165cdc98e3fe544773d21b73dc0468c663e480301186122a8	15b45634781feb4453f60a2d231a776e5fbbc0b769186e0331e83e4bab8fb1da	657c795441a44e6a68eafcd74fb51048d8d4c8a9c5e362d0faa4462ba4e84ae2	229630085318dab1b0ae2265364cb3eb961231714d9511f5cb2f09470bff2f3f	11	-0.26565456287143613	false	trade_floor=pass,subwindow_coverage=pass,breadth=pass,cost_stress=fail,complexity_cap=pass,train_floor=fail	125,93,118,138,130,203	807	0.23669002375575784	-0.26565456287143613	-0.010839433780609978	-1.343176428824037e-05	0.4857496902106567	0.9479858473213812	-0.010839433780609978	0.0	16	discard	unchanged	allowed		223.34337600000435	
attempt-0012	69d2cd3	results/autoresearch/attempt-0012	true	7cb580eda029aed650aeae9d5ef9cd44d05231e48cd90e67fc0ecd0c2c5641ab	5148cdd8602289474c89eb711610c230887f32fb91ba7c35749469f8033f877d	15b45634781feb4453f60a2d231a776e5fbbc0b769186e0331e83e4bab8fb1da	c3613182fb6393c6aeccb14e7e1ce88450f21094f556eeb6af4e452ffde3fa74	8bc821e64100007ce60c636b6758d71ed733217b5a5f3d6f4f78f054147fdb63	12	-0.21323922720071867	false	trade_floor=pass,subwindow_coverage=pass,breadth=pass,cost_stress=fail,complexity_cap=pass,train_floor=fail	125,93,118,138,130,203	807	0.2275331772376557	-0.21323922720071867	-0.006137738330509892	-7.605623705712382e-06	0.45848822800495664	0.9193312208050658	-0.006137738330509892	0.0	16	discard	unchanged	allowed		222.63784608300193	
attempt-0013	69d2cd3	results/autoresearch/attempt-0013	true	7cb580eda029aed650aeae9d5ef9cd44d05231e48cd90e67fc0ecd0c2c5641ab	11ac46cde79c3d44bf1984bc9dc35ada843c23412c99e76156b5ceb5ad05981d	15b45634781feb4453f60a2d231a776e5fbbc0b769186e0331e83e4bab8fb1da	78515adf78366c3217109db1da41f97781a1269b0ad2c5e1d25fe70e74bf01f9	9a431afc314ae0cdf38644cd2445fc2e314966dc3a2c555c167549f24f0a699c	13	-0.15169868800799696	false	trade_floor=pass,subwindow_coverage=pass,breadth=pass,cost_stress=fail,complexity_cap=pass,train_floor=fail	125,93,118,138,130,203	807	0.22705028044407316	-0.15169868800799696	-0.0021785307913161564	-2.6995424923372446e-06	0.4560099132589839	0.9779016105993794	-0.0021785307913161564	0.0	16	discard	unchanged	allowed		223.45488145801937	
attempt-0014	69d2cd3	results/autoresearch/attempt-0014	true	7cb580eda029aed650aeae9d5ef9cd44d05231e48cd90e67fc0ecd0c2c5641ab	14a3b64846bffb21cf3bb31cc7a81da9d139dbe8c577ad491f66b3753754efcf	15b45634781feb4453f60a2d231a776e5fbbc0b769186e0331e83e4bab8fb1da	4e45d057c2748945bfed1ce6e29ecaaeba79a8a327275979e0730ffac70d2143	4510ed834362bd2767fffa22ac4061bbdabf25295c8d87d44f6d2434e56c8ddf	14	-0.1623501124928538	false	trade_floor=pass,subwindow_coverage=pass,breadth=pass,cost_stress=fail,complexity_cap=pass,train_floor=fail	125,93,118,138,130,203	807	0.2300977779526306	-0.1623501124928538	-0.005044047520857903	-6.250368675164688e-06	0.46964064436183395	0.9648841273722321	-0.005044047520857903	0.0	16	discard	unchanged	allowed		224.37335687500308	
attempt-0015	69d2cd3	results/autoresearch/attempt-0015	true	7cb580eda029aed650aeae9d5ef9cd44d05231e48cd90e67fc0ecd0c2c5641ab	9dba551d8f21a65a4954086d8ac0986754b6eb03060cd75eff556afb584b0b06	15b45634781feb4453f60a2d231a776e5fbbc0b769186e0331e83e4bab8fb1da	b96f75a0ef67887085161df4f4b3afbb4905548a069ddbaf825ba616ceb0d712	54bc2dec892d4895f4a0297a4107787d30e0093f58add8553c63859c5c52a467	15	-0.14643233216409404	false	trade_floor=pass,subwindow_coverage=pass,breadth=pass,cost_stress=fail,complexity_cap=pass,train_floor=fail	181,170,208,223,199,255	1236	0.24702492975437612	-0.14643233216409404	-0.018463666583769564	-1.4938241572629096e-05	0.48624595469255666	0.9016118533918248	-0.018463666583769564	0.0	16	discard	unchanged	allowed		239.21888845801004	
attempt-0016	69d2cd3	results/autoresearch/attempt-0016	true	7cb580eda029aed650aeae9d5ef9cd44d05231e48cd90e67fc0ecd0c2c5641ab	ee2bf3819b3d169def193152060093370290dd7b9ca4a4d6dbf7db4a25819ed7	15b45634781feb4453f60a2d231a776e5fbbc0b769186e0331e83e4bab8fb1da	67acadc8ee639ce2b0e7701d75a397cbd9c653e259f86b7c9a59a7d221a70a22	843f0c43b357eab9946fa73cf761f9eac0a817a96ecf1499e9a8e4e6ecdadffc	16	-0.15153917976127682	false	trade_floor=pass,subwindow_coverage=pass,breadth=pass,cost_stress=fail,complexity_cap=pass,train_floor=fail	149,132,172,182,163,230	1028	0.24182303587985332	-0.15153917976127682	-0.01752414096677977	-1.704682973422157e-05	0.49416342412451364	0.8913885668057432	-0.01752414096677977	0.0	16	discard	unchanged	allowed		232.89988837501733	
attempt-0017	69d2cd3	results/autoresearch/attempt-0017	true	7cb580eda029aed650aeae9d5ef9cd44d05231e48cd90e67fc0ecd0c2c5641ab	add1a379277b07e9ec5d1ea3f1c56364aee84cadb0038406d885a585b4f16c7b	15b45634781feb4453f60a2d231a776e5fbbc0b769186e0331e83e4bab8fb1da	575f311b8583594c33b1526c53c67afa3cf152326f4ce962419075f89e280cd8	1695cb86ca73b865ba37565f12fb7bc59cd35d8808dbb6a8e47d47b274fff297	17	-0.19352925285827027	false	trade_floor=pass,subwindow_coverage=pass,breadth=pass,cost_stress=fail,complexity_cap=pass,train_floor=fail	77,64,83,101,90,171	586	0.24865826681092554	-0.19352925285827027	-0.008347272382695396	-1.4244492120640606e-05	0.4863481228668942	0.9046127112497118	-0.008347272382695396	0.0	16	discard	unchanged	allowed		217.24607029100298	
attempt-0018	69d2cd3	results/autoresearch/attempt-0018	true	7cb580eda029aed650aeae9d5ef9cd44d05231e48cd90e67fc0ecd0c2c5641ab	0853048f7bf1744344e9e6e0639bc5957cdc0cfa8a07b403c407f2cb8d47de83	15b45634781feb4453f60a2d231a776e5fbbc0b769186e0331e83e4bab8fb1da	de215f1a777041529f87d5ce3ab7f428e827f93339cd6c5c6b1c7106b6dbb50d	ed6f0b5872d65a931ec0ceeb00615a6fa4e6bb62a8d9abe2b6993251a9474a97	18	-0.277026752942254	false	trade_floor=pass,subwindow_coverage=pass,breadth=pass,cost_stress=fail,complexity_cap=pass,train_floor=fail	57,37,59,50,62,117	382	0.25522193053890624	-0.277026752942254	-0.0057745510954878235	-1.5116625904418386e-05	0.46335078534031415	0.8993832949086705	-0.0057745510954878235	0.0	16	discard	unchanged	allowed		212.6215726249793	
attempt-0019	69d2cd3	results/autoresearch/attempt-0019	true	7cb580eda029aed650aeae9d5ef9cd44d05231e48cd90e67fc0ecd0c2c5641ab	e7190dccdfc4bb296deb4e1a81a173f1a63dfcda49460c849def6cd6cfada037	15b45634781feb4453f60a2d231a776e5fbbc0b769186e0331e83e4bab8fb1da	ccef61fefac8848feb1a26b6bf141dc7319250d489b10bc2045c54da969d7c86	26de470b070a2f994990f9e50d98b5b9c5fc8c5a27179cc41f04f75ddf514f03	19	-0.22864723530892836	false	trade_floor=pass,subwindow_coverage=pass,breadth=pass,cost_stress=fail,complexity_cap=pass,train_floor=fail	99,51,73,94,101,179	597	0.23701951110822692	-0.22864723530892836	-0.007315043994658361	-1.225300501617816e-05	0.48408710217755446	0.9177689070098801	-0.007315043994658361	0.0	16	discard	unchanged	allowed		217.21291745800409	
attempt-0020	69d2cd3	results/autoresearch/attempt-0020	true	7cb580eda029aed650aeae9d5ef9cd44d05231e48cd90e67fc0ecd0c2c5641ab	39c59a6a37b5f8f9dab29d4033c10210dc03797802af06109d14a3a30fb7055f	15b45634781feb4453f60a2d231a776e5fbbc0b769186e0331e83e4bab8fb1da	adbb8608585b73ad564fa12f0242bbb0abb8a7cff2d606fb1826743342c4f426	7faddbd73568a14d65853ee40f984d84a56edb9c660f920c1c342a63715ed688	20	-0.2805395043976552	false	trade_floor=pass,subwindow_coverage=pass,breadth=pass,cost_stress=fail,complexity_cap=pass,train_floor=fail	112,72,95,118,115,192	704	0.23423283772529277	-0.2805395043976552	-0.019523249939652456	-2.773188911882451e-05	0.47017045454545453	0.8246755984718676	-0.019523249939652456	0.0	16	discard	unchanged	allowed		221.14703645801637	
